timestamp;alvo;tentativas;baixos;altos;sequencia;resultado
2026-05-13 10:00:00;42;3;1;1;50,25,42;VITORIA
2026-05-13 10:05:23;87;7;7;0;10,20,30,40,50,60,70;DERROTA
2026-05-13 10:12:45;15;4;0;3;80,40,20,15;VITORIA
2026-05-13 10:20:00;64;6;3;2;50,75,63,66,65,64;VITORIA
2026-05-13 10:28:15;99;5;4;0;30,40,50,60,99;VITORIA
2026-05-13 10:35:00;23;7;0;6;90,80,70,60,50,40,23;VITORIA
2026-05-13 10:42:30;55;4;2;1;40,70,50,55;VITORIA
2026-05-13 10:50:00;8;7;0;7;50,60,70,80,90,95,98;DERROTA
2026-05-13 11:00:15;72;5;2;2;50,80,60,70,72;VITORIA
2026-05-13 11:08:45;91;6;5;0;20,30,40,50,60,91;VITORIA
